Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Ukraine,Kyiv,Multiplex Lavina Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,,,
Ukraine,Kyiv,Planeta Kino River Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,,,
Ukraine,Kyiv,Respublica IMAX,1.90:1,IMAX CoLa,1.90:1,,,
United Kingdom,Ashford,Cineworld Ashford & IMAX,1.43:1,IMAX CoLa,1.90:1,,"23 m × 16 m
74 ft × 52 ft",Yes
United Kingdom,Barnsley,Cineworld Barnsley & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Belfast,Cineworld Belfast & IMAX,1.43:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Dunfermline,ODEON Dunfermline & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Gateshead,ODEON Gateshead & IMAX,1.90:1,IMAX CoLa,1.90:1,,"19.0 m × 10.0 m
62.3 ft × 32.8 ft",Yes
United Kingdom,Glasgow,Cineworld Silverburn & IMAX,1.90:1,IMAX CoLa,1.90:1,,"24 m × 13 m
79 ft × 44 ft",Yes
United Kingdom,Liverpool,ODEON Liverpool ONE & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,London,Cineworld Leicester Square IMAX,1.90:1,IMAX GT Laser,1.90:1,,"26.5 m × 14.0 m
87.0 ft × 45.8 ft",Yes
United Kingdom,Manchester,ODEON Trafford Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.8 m × 9.7 m
58.5 ft × 31.8 ft",Yes
United Kingdom,Rushden,Cineworld Rushden Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,,"23.8 m × 13.2 m
78.1 ft × 43.3 ft",Yes
United Kingdom,Sheffield,Cineworld Sheffield & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"23.9 m × 12.9 m
78.4 ft × 42.4 ft",Yes
United Kingdom,Swindon,VUE Swindon & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Watford,Cineworld Watford & IMAX,1.90:1,IMAX CoLa,1.90:1,,"22.0 m × 11.6 m
72.2 ft × 38.1 ft 255 m
2,740 sq ft",Yes
United Kingdom,York,Cineworld York & IMAX,1.43:1,IMAX CoLa,1.90:1,,"22.29 m × 16.81 m
73.1 ft × 55.2 ft 375 m
4,040 sq ft",Yes
Czechia,Prague,"IMAX Theatre, Palac Flora",1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,"23.9 m × 18.5 m
78.3 ft × 60.6 ft",Yes
France,Poitiers,Futuroscope - Arthur the 4D Adventure,Dome 1.43:1,,,IMAX Dome 15/70 mm 3D,25.00m.................-,No
Germany,Speyer,"IMAX Dome, Speyer Technik Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,"24.0 m
78.7 ft",No
Spain,Valencia,"L'Hemisferic, Ciudad de las Artes y las Ciencias",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,"24.0 m
78.8 ft",No
United Kingdom,London,"BFI IMAX, British Film Institute",1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,"26 m × 20 m
85 ft × 65 ft",Yes
United Kingdom,London,IMAX: The Ronson Theatre at the Science Museum,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,"24.3 m × 16.8 m
79.7 ft × 55.1 ft",Yes
United Kingdom,Manchester,Vue Manchester IMAX & The Printworks,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,"26.3 m × 18.8 m
86.3 ft × 61.7 ft",Yes
