Country,Province/State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
United States,CA,Los Angeles,"IMAX, California Science Center",1.43:1,IMAX GT Laser,1.43:1,No,20.30 m,27.40 m,No
United States,CA,San Diego,Fleet Science Center,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,23.20 m, Yes
United States,CA,San Jose,"IMAX Dome Theater, The Tech Interactive",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,25.00 m,Yes
United States,CA,Dublin,Regal Hacienda Crossings & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,17.00 m,23.28 m,Yes
United States,CA,Hollywood,TCL Chinese Theatres IMAX,1.90:1,IMAX GT Laser,1.90:1,"IMAX SR 15/70 mm, (2D Only)(Temporary)",14.00 m,28.70 m,Yes
United States,CA,Irvine,Regal Edwards Irvine Spectrum & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX 15/70 mm,20.60 m,26.80 m,Yes
United States,CA,Ontario,Regal Edwards Ontario Palace & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,20.40 m,27.10 m,Yes
United States,CA,Sacramento,Esquire IMAX Theatre,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,18.00 m,23.10 m,Yes
United States,CA,San Francisco,AMC Metreon 16 & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,23.00 m,29.80 m,Yes
United States,CA,Universal City,Universal Cinema AMC at CityWalk Hollywood & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,17.70 m,24.10 m,Yes
United States,CO,Denver,AMC Orchard 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.00 m,15.60 m,Yes
United States,CO,Denver,AMC Westminster Promenade 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.60 m,15.90 m,Yes
United States,CO,Highlands Ranch,AMC Highlands Ranch 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.60 m,17.50 m,Yes
