Country,Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Japan,Kantō,Fujisawa City,109 Cinemas Shonan & IMAX,1.90:1,IMAX Cola,1.90:1,,20.60m×11.50m,Yes
Japan,Kantō,Kawasaki,109 Cinemas Kawasaki & IMAX,1.90:1,IMAX Cola,1.90:1,,17.40m×9.00m,Yes
Japan,Kantō,Kiba,109 Cinemas Kiba & IMAX,1.90:1,IMAX Cola,1.90:1,,18.00m×9.10m,Yes
Japan,Kantō,Matsudo,United Cinemas Matsudo & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Kantō,Nerima-ku,United Cinemas Toshimaen & IMAX,1.90:1,IMAX Cola,1.90:1,,19.00m×9.50m,Yes
Japan,Kantō,Saitama,109 Cinemas Shobu & IMAX,1.90:1,IMAX Cola,1.90:1,,18.40m×9.80m,Yes
Japan,Kantō,Tokyo,109 Cinemas Futako Tamagawa & IMAX,1.90:1,IMAX Cola,1.90:1,,18.50m×9.90m,Yes
Japan,Kantō,Tokyo,109 Cinemas Grandberry Mall & IMAX,1.90:1,IMAX Cola,1.90:1,,16.80m×8.60m,Yes
Japan,Kantō,Tokyo,Aeon Chofu & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Kantō,Tokyo,Toho Cinemas Shinjyuku & IMAX,1.90:1,IMAX Cola,1.90:1,,19.5m×10.9m,Yes
Japan,Kantō,Tsuchiura-shi,Cinema Sunshine Tsuchiura & IMAX,1.90:1,IMAX Laser XT,1.90:1,,16.7m×9.2m,Yes
Japan,Kantō,Urawa,United Cinemas Urawa & IMAX,1.90:1,IMAX Cola,1.90:1,,18.2m×9.2m,Yes
Japan,Kyushu,Fukuoka,Aeon Fukuoka & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Japan,Kyushu,Hakata-ku,United Cinemas Canal City 13 & IMAX,1.90:1,IMAX Cola,1.90:1,,15.10m×8.40m,Yes
Kuwait,Ahmadi,Fahaheel,Cinescape Al-Kout & IMAX,1.90:1,IMAX Cola,1.90:1,,21.00m×11.80m,Yes
Malaysia,Kuala Lumpur,Kuala Lumpur,"Aurum Theatre, The Exchange TRX & IMAX",1.90:1,IMAX Cola,1.90:1,,,Yes
Malaysia,Kuala Lumpur,Kuala Lumpur,TGV Pavilion Bukit Jalil & IMAX,1.90:1,IMAX Laser XT,1.90:1,,20.88mx11.08m,Yes
Malaysia,Kuala Lumpur,Kuala Lumpur,TGV Suria KLCC & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Malaysia,Selangor,Petaling Jaya,TGV 1 Utama & IMAX,1.90:1,IMAX Laser XT,1.90:1,,22.00m×12.50m,Yes
Malaysia,Putrajaya,Putrajaya,GSC IOI City Mall & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Philippines,Western Visayas,Iloilo City,SM Iloilo City & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Philippines,National Capital Region,Las Pinas,Vista Cinemas & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Qatar,,Doha,Novo Mall Of Qatar & IMAX,1.90:1,IMAX GT Laser,1.90:1,,17.90m×9.90m,Yes
Saudi Arabia,Eastern Province,Hafr Al Batin,AMC Hafr Al Batin 8 & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Saudi Arabia,Mecca Province,Jeddah,AMC Stars Avenue 9 & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Saudi Arabia,Mecca Province,Jeddah,VOX Jeddah Town Square & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Saudi Arabia,Mecca Province,Jeddah,VOX Red Sea Mall & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Saudi Arabia,Riyadh Province,Riyadh,AMC Al Khair 9 & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Saudi Arabia,Riyadh Province,Riyadh,Empire Cinemas Rabwa & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Singapore,Central Region,Geylang,Shaw Paya Lebar Quarter & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Singapore,Central Region,Orchard,Shaw Theatres Lido & IMAX,1.90:1,IMAX Cola,1.90:1,,19.00m×9.00m,Yes
Singapore,East Region,Changi,Shaw Theatres Jewel & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
South Korea,Gyeonggi,Hwaseong,CGV Dongtan & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
South Korea,Gyeonggi,Pyeongtaek,CGV Pyeongtaek & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
South Korea,Gyeonggi,Seoul,CGV Apgujeong & IMAX,1.90:1,IMAX Laser XT,1.90:1,,16.00m×9.00m,Yes
South Korea,Gyeonggi,Seoul,CGV Yeongdeungpo & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
South Korea,Gyeonggi,Suwon,CGV Gwangyo & IMAX,1.90:1,IMAX Cola,1.90:1,,20.00m×12.00m,Yes
South Korea,Hoseo,Cheonan,CGV Cheonon Pentaport & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
South Korea,Hoseo,Daejeon,CGV Daejeon Terminal & IMAX,1.90:1,IMAX Laser XT,1.90:1,,16.00m×8.50m,Yes
South Korea,Yeongnam,Daegu,CGV Daegu Spectrum City & IMAX,1.90:1,IMAX Cola,1.90:1,,21.30m×12.60m,Yes
Taiwan,Northern Taiwan,New Taipei,New Taipei Yulon City VieShow & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Taiwan,Northern Taiwan,New Taipei City,Vie Show Cinemas Banqiao Mega City IMAX,1.90:1,IMAX Cola,1.90:1,,21.30m×11.15m,Yes
Taiwan,Southern Taiwan,Jiayi City,IN89 Cinemax Chiayi & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
Taiwan,Southern Taiwan,Kaohsiung,Kaohsiung Vie Show IMAX,1.90:1,IMAX Cola,1.90:1,,15.90m×8.20m,Yes
Thailand,Central Thailand,Bangkok,"IMAX at ICON CINECONIC, ICONSIAM",1.90:1,IMAX Cola,1.90:1,,,Yes
Thailand,Central Thailand,Bangkok,"IMAX Theatre, Quartier Cine-Art",1.90:1,IMAX Cola,1.90:1,,25.70m×13.70m,Yes
Thailand,Central Thailand,Nonthaburi,Esplanade Cineplex Ngamwongwan-Khaerai & IMAX,1.90:1,IMAX Laser XT,1.90:1,,22.00m×11.00m,Yes
Thailand,Central Thailand,Samutprakarn,IMAX Mega Cineplex at Mega Bangna,1.90:1,IMAX Laser XT,1.90:1,,19.60m×10.20m,Yes
United Arab Emirates,Abu Dhabi,Abu Dhabi,VOX Al Maryah & IMAX,1.90:1,IMAX Cola,1.90:1,,,Yes
United Arab Emirates,Dubai,Dubai,VOX Cinemas & IMAX,1.90:1,IMAX GT Laser,1.90:1,,23.90m×12.70m,Yes
China,Beijing,Chaoyang,China National Film Museum & IMAX,1.43:1,IMAX GT Laser,1.43:1,,30.17m×19.51m,
China,Beijing,Tongzhou,Universal Beijing Resort Universal City Walk & IMAX,,IMAX Cola,1.90:1,,,
China,Guangdong,Dongguan,Dongguan Wanda & IMAX,1.43:1,IMAX GT Laser,1.43:1,,32.06m×19.51m,
China,Guangdong,Guangzhou,Guangzhou Rock Square Flying & IMAX,,IMAX Cola,1.90:1,,,
China,Guangdong,Maoming,Maoming Donghui & IMAX,,IMAX Cola,1.90:1,,,
China,Guangdong,Shenzhen,Shenzhen Longgang Tian An MixC & IMAX,,IMAX Cola,1.90:1,,,
China,Heilongjiang,Harbin,Harbin Tai Lai Era & IMAX,1.43:1,IMAX GT Laser,1.43:1,,28.65m×21.30m,
China,Heilongjiang,Harbin,Harbin MixC & IMAX,,IMAX Cola,1.90:1,,,
China,Hubei,Wuhan,Wuhan Wushang Dream Plaza Moore & IMAX,,IMAX Cola,,,,
China,Liaoning,Shenyang,"IMAX, Liaoning Science & Technology Museum",1.43:1,IMAX GT Laser,1.43:1,,28.98mx22.00m,
China,Shandong,Jinan,Shandong Science & Technology Museum,,IMAX GT Laser,,,,
China,Yunnan,Kunming,Kunming Panxing Dadu LLC & IMAX,1.43:1,IMAX GT Laser,1.43:1,,23.10m×17.37m,
Japan,Chūgoku,Okayama,Aeon Okayama & IMAX,,IMAX Cola,1.90:1,,,Yes
Japan,Kansai,Osaka,109 Cinemas Osaka Expocity & IMAX,1.43:1,IMAX GT Laser,1.43:1,,26.00m×18.00m,Yes
Japan,Kantō,Tokyo,Grand Cinema Sunshine & IMAX,1.43:1,IMAX GT Laser,1.43:1,,25.8m×18.9m,Yes
Kuwait,Hawalli,Salmiya,"IMAX, The Scientific Center Kuwait",1.43:1,IMAX GT Laser,1.43:1,,20.00m×14.80m,No
Malaysia,Kuala Lumpur,Kuala Lumpur,TGV Sunway Velocity & IMAX,1.43:1,IMAX Cola,1.90:1,,25.90m×19.40m,Yes
South Korea,Gyeonggi,Seoul,CGV Yongsan I-Park Mall & IMAX,1.43:1,IMAX GT Laser,1.43:1,,31.00m×22.40m,Yes
Taiwan,Northern Taiwan,Taipei,Miramar IMAX,1.43:1,IMAX GT Laser,1.43:1,,28.40m×21.20m,Yes
Thailand,Central Thailand,Bangkok,"IMAX, Major Cineplex Ratchayothin",1.43:1,IMAX Cola,1.90:1,,24.00m×17.00m,Yes
Thailand,Central Thailand,Bangkok,"Krungsri IMAX, Paragon Cineplex",1.43:1,IMAX Cola,1.90:1,,27.30m×19.90m,Yes
Vietnam,Ho Chi Minh City,Ho Chi Minh City,CGV Sư Vạn Hạnh & IMAX,1:90:1,IMAX Laser XT,1.90:1,,21.34m×11.74m,Yes
Vietnam,Ho Chi Minh City,Ho Chi Minh City,CGV AEON Bình Tân & IMAX,1:90:1,IMAX Laser XT,1.90:1,,20.65m×11.30m,Yes
Vietnam,Ho Chi Minh City,Thu Duc,Galaxy Sala & IMAX,1:90:1,IMAX Laser XT,1:90:1,,,Yes
China,Beijing,Chaoyang,"IMAX 3D, China Science & Technology Museum",1.43:1,,,IMAX GT3D 15/70 mm,29.58m×21.93m,
China,Beijing,Chaoyang,"IMAX Dome, China Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,30m,
China,Chongqing,Jiangbei,"IMAX, Chongqing Science & Technology Museum",1.43:1,,,IMAX SR 15/70 mm,22.00m×16.00m,
China,Chongqing,Yuzhong,"IMAX Dome, Chongqing Children's Museum",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,18m,
China,Guangdong,Dongguan,"IMAX Dome, Dongguan Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,18m,
